No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,5,6,7,8,9,10,11,12
34, 0.19 ,M,Lewis-Potter,BRE, 5.0 , 45.00 , 0.046 , 2.07 ,105%, 1.88 , 2.32 , 2.33 , 1.90 , 2.69 , 1.96 , 2.26 , 1.94 
35, 0.28 ,M,Norgaard,BRE, 5.0 , 82.29 , 0.032 , 2.59 ,105%, 2.46 , 2.90 , 2.92 , 2.38 , 3.37 , 2.46 , 2.84 , 2.43 
36, 0.18 ,M,Schade,BRE, 5.5 , 40.35 , 0.052 , 2.02 ,105%, 2.12 , 2.26 , 2.28 , 1.85 , 2.63 , 1.92 , 2.21 , 1.89 
37, 0.20 ,M,Damsgaard,BRE, 5.0 , 54.35 , 0.039 , 2.07 ,105%, 2.09 , 2.31 , 2.33 , 1.89 , 2.69 , 1.96 , 2.26 , 1.94 
38, 0.08 ,M,DaSilva,BRE, 4.9 , 2.00 , 0.041 , 0.08 ,105%, 0.07 , 0.09 , 0.09 , 0.08 , 0.11 , 0.08 , 0.09 , 0.08 
39, 0.20 ,M,Jensen,BRE, 5.5 , 48.90 , 0.036 , 2.63 ,105%, -   , 1.47 , 2.96 , 2.41 , 3.42 , 2.50 , 2.88 , 2.47 
40, 0.23 ,M,Janelt,BRE, 4.9 , 73.00 , 0.031 , 2.28 ,105%, 2.07 , 2.55 , 2.56 , 2.09 , 2.96 , 2.16 , 2.49 , 2.13 
41, 0.55 ,M,Mbeumo,BRE, 7.1 , 80.14 , 0.062 , 4.90 ,105%, 4.60 , 5.56 , 5.52 , 4.49 , 6.36 , 4.65 , 5.35 , 4.59 
42, 0.17 ,M,Baleba,BRI, 5.0 , 69.80 , 0.027 , 1.85 ,97%, 2.26 , 1.65 , 1.91 , 1.66 , 2.08 , 1.43 , 1.48 , 1.77 
43, 0.08 ,M,I.Osman,BRI, 5.0 , -   , 0.042 , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
44, 0.31 ,M,Minteh,BRI, 5.5 , 61.45 , 0.050 , 3.07 ,97%, 3.48 , 2.74 , 3.17 , 2.76 , 3.46 , 2.37 , 2.45 , 2.94 
45, 0.12 ,M,Adingra,BRI, 5.5 , 23.00 , 0.049 , 1.14 ,97%, 1.25 , 1.01 , 1.17 , 1.02 , 1.28 , 0.88 , 0.91 , 1.09 
46, 0.12 ,M,Enciso,BRI, 5.4 , 18.00 , 0.056 , 1.00 ,97%, 1.10 , 0.89 , 1.03 , 0.90 , 1.13 , 0.77 , 0.80 , 0.96 
47, 0.13 ,M,Gruda,BRI, 5.4 , 30.67 , 0.041 , 1.51 ,97%, 0.67 , 1.09 , 1.56 , 1.36 , 1.70 , 1.17 , 1.21 , 1.44 
48, 0.13 ,M,March,BRI, 6.5 , 24.50 , 0.053 , 3.78 ,97%, -   , -   , 0.81 , 1.65 , 2.96 , 2.92 , 3.02 , 3.61 
49, 0.45 ,M,Mitoma,BRI, 6.7 , 78.00 , 0.057 , 4.44 ,97%, 4.86 , 3.96 , 4.57 , 3.99 , 5.00 , 3.43 , 3.54 , 4.25 
50, 0.10 ,M,Milner,BRI, 5.0 , 12.88 , 0.032 , 0.99 ,97%, -   , -   , 0.33 , 0.57 , 1.11 , 0.76 , 0.79 , 0.94 
51, (1.00),M,0,BRI, 100.0 , -   , -   , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
52, 0.21 ,M,Wieffer,BRI, 5.0 , 66.96 , 0.033 , 2.71 ,97%, 1.08 , 1.91 , 2.79 , 2.43 , 3.05 , 2.09 , 2.16 , 2.59 
53, 0.15 ,M,Georginio,BRI, 5.5 , 37.25 , 0.045 , 1.57 ,97%, 2.21 , 1.40 , 1.62 , 1.41 , 1.77 , 1.21 , 1.25 , 1.50 
54, 0.16 ,M,João Félix,CHE, 6.5 , 43.20 , 0.052 , 2.35 ,98%, 1.89 , 2.48 , 2.57 , 1.81 , 2.43 , 2.15 , 1.88 , 2.68 
55, 0.13 ,M,Neto,CHE, 6.4 , 38.00 , 0.050 , 1.91 ,98%, 1.87 , 2.01 , 2.09 , 1.47 , 1.98 , 1.75 , 1.53 , 2.18 
56, 0.08 ,M,Chukwuemeka,CHE, 4.9 , 1.00 , 0.038 , 0.04 ,98%, 0.04 , 0.04 , 0.04 , 0.03 , 0.04 , 0.04 , 0.03 , 0.04 
