No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,5,6,7,8,9,10,11,12
147, 0.39 ,M,Rashford,MUN, 6.9 , 69.13 , 0.057 , 3.89 ,101%, 3.90 , 4.01 , 3.61 , 4.21 , 3.82 , 3.94 , 5.04 , 4.46 
148, 0.10 ,M,Mount,MUN, 6.4 , 21.26 , 0.048 , 1.83 ,101%, -   , 0.50 , 0.98 , 1.98 , 1.80 , 1.86 , 2.37 , 2.10 
149, 0.38 ,M,Garnacho,MUN, 6.4 , 62.40 , 0.059 , 3.91 ,101%, 2.76 , 4.03 , 3.63 , 4.23 , 3.84 , 3.96 , 5.07 , 4.48 
150, 0.30 ,M,Amad Diallo,MUN, 5.0 , 54.31 , 0.052 , 2.44 ,101%, 3.34 , 3.15 , 2.27 , 2.64 , 2.39 , 2.47 , 3.16 , 2.80 
151, (1.00),M,0,NEW, 100.0 , -   , -   , -   ,91%, -   , -   , -   , -   , -   , -   , -   , -   
152, 0.15 ,M,Joelinton,NEW, 6.0 , 58.75 , 0.038 , 2.31 ,91%, 1.83 , 1.84 , 2.17 , 2.44 , 2.06 , 1.86 , 2.21 , 2.59 
153, 0.27 ,M,Bruno Guimarães,NEW, 6.4 , 86.00 , 0.039 , 3.33 ,91%, 3.16 , 2.66 , 3.12 , 3.51 , 2.97 , 2.67 , 3.19 , 3.72 
154, 0.09 ,M,Almirón,NEW, 5.8 , 13.00 , 0.047 , 0.60 ,91%, 0.57 , 0.48 , 0.57 , 0.64 , 0.54 , 0.49 , 0.58 , 0.68 
155, 0.15 ,M,Longstaff (Sean),NEW, 4.9 , 42.65 , 0.037 , 1.61 ,91%, 1.32 , 1.29 , 1.51 , 1.70 , 1.44 , 1.29 , 1.54 , 1.80 
156, 0.16 ,M,Willock,NEW, 4.8 , 35.00 , 0.045 , 1.58 ,91%, 1.50 , 1.26 , 1.48 , 1.67 , 1.41 , 1.27 , 1.52 , 1.77 
157, 0.28 ,M,Barnes,NEW, 6.4 , 51.03 , 0.066 , 3.22 ,91%, 3.61 , 2.57 , 3.01 , 3.39 , 2.87 , 2.58 , 3.08 , 3.60 
158, 0.16 ,M,Murphy (Jacob),NEW, 5.3 , 40.00 , 0.050 , 2.00 ,91%, 1.89 , 1.59 , 1.87 , 2.11 , 1.78 , 1.60 , 1.91 , 2.23 
159, 0.43 ,M,Gordon (Anthony),NEW, 7.4 , 85.50 , 0.057 , 4.84 ,91%, 4.59 , 3.86 , 4.54 , 5.11 , 4.32 , 3.88 , 4.64 , 5.41 
160, 0.14 ,M,Tonali,NEW, 5.5 , 56.00 , 0.030 , 1.70 ,91%, 1.61 , 1.36 , 1.59 , 1.80 , 1.52 , 1.37 , 1.63 , 1.90 
161, 0.10 ,M,Miley (Lewis),NEW, 5.0 , 15.67 , 0.037 , 0.82 ,91%, -   , 0.45 , 0.77 , 0.86 , 0.73 , 0.66 , 0.78 , 0.92 
162, 0.13 ,M,Nicolás Domínguez,NOT, 4.9 , 32.25 , 0.032 , 0.97 ,101%, 1.19 , 1.05 , 0.86 , 1.04 , 1.11 , 1.08 , 1.01 , 0.67 
163, 0.43 ,M,Gibbs-White,NOT, 6.5 , 82.00 , 0.049 , 4.05 ,101%, 3.72 , 4.40 , 3.61 , 4.34 , 4.63 , 4.53 , 4.20 , 2.82 
164, 0.37 ,M,Hudson-Odoi,NOT, 5.4 , 70.00 , 0.047 , 3.29 ,101%, 3.02 , 3.57 , 2.93 , 3.52 , 3.76 , 3.68 , 3.41 , 2.29 
165, 0.12 ,M,Yates,NOT, 5.0 , 30.00 , 0.030 , 0.90 ,101%, 0.83 , 0.98 , 0.81 , 0.97 , 1.03 , 1.01 , 0.94 , 0.63 
166, 0.31 ,M,Ward-Prowse,NOT, 6.3 , 76.50 , 0.042 , 3.21 ,101%, 2.94 , 3.48 , 2.86 , 3.43 , 3.67 , 3.59 , 3.32 , 2.23 
167, 0.15 ,M,Sangaré,NOT, 4.5 , 46.70 , 0.025 , 1.34 ,101%, 0.58 , 1.45 , 1.19 , 1.43 , 1.53 , 1.49 , 1.38 , 0.93 
168, 0.09 ,M,Jota Silva,NOT, 6.0 , 15.00 , 0.041 , 0.62 ,101%, 0.57 , 0.67 , 0.55 , 0.67 , 0.71 , 0.70 , 0.64 , 0.43 
169, 0.20 ,M,Anderson,NOT, 5.0 , 59.00 , 0.037 , 2.17 ,101%, 1.99 , 2.36 , 1.94 , 2.32 , 2.48 , 2.43 , 2.25 , 1.51 
170, 0.33 ,M,Elanga,NOT, 5.3 , 61.00 , 0.049 , 3.01 ,101%, 2.76 , 3.27 , 2.68 , 3.22 , 3.44 , 3.36 , 3.12 , 2.09 
171, 0.37 ,M,Brereton,SOU, 5.4 , 68.50 , 0.047 , 3.24 ,102%, 4.21 , 3.10 , 2.25 , 4.20 , 2.24 , 3.48 , 3.20 , 2.85 
172, 0.19 ,M,Downes,SOU, 4.9 , 71.00 , 0.027 , 1.91 ,102%, 2.48 , 1.82 , 1.33 , 2.47 , 1.32 , 2.05 , 1.89 , 1.68 
173, 0.19 ,M,Smallbone,SOU, 5.0 , 53.05 , 0.035 , 2.30 ,102%, 1.15 , 1.69 , 1.60 , 2.98 , 1.59 , 2.47 , 2.27 , 2.02 
174, 0.13 ,M,Lallana,SOU, 5.0 , 31.00 , 0.036 , 1.13 ,102%, 1.46 , 1.08 , 0.78 , 1.46 , 0.78 , 1.21 , 1.11 , 0.99 
175, 0.16 ,M,Ugochukwu,SOU, 4.5 , 46.00 , 0.030 , 1.36 ,102%, 1.77 , 1.30 , 0.95 , 1.77 , 0.94 , 1.46 , 1.35 , 1.20 
176, 0.19 ,M,Aribo,SOU, 5.0 , 57.40 , 0.035 , 2.12 ,102%, 2.03 , 2.02 , 1.47 , 2.75 , 1.46 , 2.27 , 2.09 , 1.86 
177, 0.12 ,M,Cornet,SOU, 4.9 , 15.00 , 0.047 , 0.71 ,102%, 0.92 , 0.68 , 0.49 , 0.92 , 0.49 , 0.76 , 0.70 , 0.62 
178, 0.31 ,M,Johnson (Brennan),TOT, 6.4 , 59.00 , 0.055 , 3.24 ,101%, 3.51 , 2.97 , 2.98 , 3.62 , 3.02 , 3.45 , 4.21 , 2.24 
179, 0.17 ,M,Sarr (Pape),TOT, 4.9 , 46.00 , 0.036 , 1.66 ,101%, 1.80 , 1.52 , 1.52 , 1.85 , 1.55 , 1.77 , 2.15 , 1.15 
180, 0.10 ,M,Werner,TOT, 6.3 , 18.00 , 0.059 , 1.06 ,101%, 1.15 , 0.97 , 0.97 , 1.19 , 0.99 , 1.13 , 1.38 , 0.73 
181, (1.00),M,0,TOT, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
182, 0.15 ,M,Odobert,TOT, 5.5 , 35.00 , 0.047 , 1.63 ,101%, 1.76 , 1.49 , 1.50 , 1.82 , 1.52 , 1.74 , 2.12 , 1.13 
183, 0.07 ,M,Solomon,TOT, 5.4 , -   , 0.055 , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
184, 0.27 ,M,Kulusevski,TOT, 6.3 , 64.13 , 0.047 , 2.94 ,101%, 3.43 , 2.69 , 2.70 , 3.28 , 2.74 , 3.13 , 3.81 , 2.03 
185, 0.49 ,M,Son,TOT, 10.0 , 87.00 , 0.068 , 5.89 ,101%, 6.37 , 5.39 , 5.41 , 6.58 , 5.50 , 6.28 , 7.65 , 4.07 
186, 0.16 ,M,Bissouma,TOT, 5.0 , 58.27 , 0.027 , 1.86 ,101%, 0.89 , 1.56 , 1.71 , 2.08 , 1.74 , 1.99 , 2.42 , 1.29 
187, 0.36 ,M,Maddison,TOT, 7.5 , 68.68 , 0.058 , 3.92 ,101%, 4.43 , 3.59 , 3.60 , 4.38 , 3.66 , 4.18 , 5.09 , 2.71 
188, (1.00),M,0,TOT, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
189, 0.14 ,M,Bentancur,TOT, 5.0 , 40.70 , 0.029 , 1.11 ,101%, 1.58 , 1.01 , 1.02 , 1.24 , 1.03 , 1.18 , 1.44 , 0.77 
190, 0.18 ,M,Rodríguez,WHM, 5.0 , 69.00 , 0.027 , 1.87 ,104%, 1.89 , 1.77 , 2.43 , 1.70 , 1.94 , 1.79 , 2.01 , 1.68 
191, 0.40 ,M,Kudus,WHM, 6.4 , 85.00 , 0.044 , 3.73 ,104%, 3.78 , 3.52 , 4.84 , 3.39 , 3.87 , 3.57 , 4.01 , 3.35 
192, 0.46 ,M,Bowen,WHM, 7.5 , 85.30 , 0.054 , 4.61 ,104%, 4.67 , 4.36 , 5.99 , 4.18 , 4.78 , 4.41 , 4.95 , 4.14 
193, 0.27 ,M,Lucas Paquetá,WHM, 6.0 , 68.00 , 0.042 , 2.84 ,104%, 2.88 , 2.68 , 3.69 , 2.58 , 2.94 , 2.72 , 3.05 , 2.55 
194, 0.12 ,M,Summerville,WHM, 5.8 , 24.00 , 0.051 , 1.23 ,104%, 1.25 , 1.17 , 1.60 , 1.12 , 1.28 , 1.18 , 1.33 , 1.11 
195, 0.17 ,M,Álvarez (Edson),WHM, 5.0 , 71.00 , 0.024 , 1.72 ,104%, 1.74 , 1.62 , 2.23 , 1.56 , 1.78 , 1.64 , 1.84 , 1.54 
196, 0.14 ,M,C.Soler,WHM, 5.0 , 33.00 , 0.039 , 1.28 ,104%, 1.29 , 1.21 , 1.66 , 1.16 , 1.32 , 1.22 , 1.37 , 1.15 
197, (1.00),M,0,WHM, 100.0 , -   , -   , -   ,104%, -   , -   , -   , -   , -   , -   , -   , -   
198, 0.20 ,M,Soucek,WHM, 5.0 , 53.00 , 0.040 , 2.10 ,104%, 2.13 , 1.98 , 2.72 , 1.90 , 2.18 , 2.01 , 2.25 , 1.89 
199, 0.10 ,M,Forbs,WOL, 5.5 , 18.00 , 0.041 , 0.74 ,92%, 0.68 , 0.65 , 0.70 , 0.59 , 0.68 , 0.79 , 0.93 , 0.70 
200, 0.15 ,M,Bellegarde,WOL, 5.0 , 48.00 , 0.034 , 1.65 ,92%, 1.54 , 1.45 , 1.56 , 1.32 , 1.52 , 1.77 , 2.08 , 1.57 
201, 0.09 ,M,Podence,WOL, 5.5 , 10.00 , 0.044 , 0.44 ,92%, 0.41 , 0.39 , 0.41 , 0.35 , 0.40 , 0.47 , 0.55 , 0.42 
202, 0.13 ,M,André,WOL, 5.0 , 50.58 , 0.022 , 1.09 ,92%, 1.16 , 0.96 , 1.03 , 0.87 , 1.00 , 1.17 , 1.38 , 1.04 
203, 0.23 ,M,Hwang Hee-Chan,WOL, 6.3 , 60.09 , 0.049 , 3.29 ,92%, 2.05 , 2.46 , 3.11 , 2.62 , 3.02 , 3.52 , 4.14 , 3.12 
204, 0.10 ,M,Gonçalo Guedes,WOL, 5.4 , 13.00 , 0.044 , 0.58 ,92%, 0.54 , 0.51 , 0.55 , 0.46 , 0.53 , 0.62 , 0.73 , 0.55 
205, 0.17 ,M,João Gomes,WOL, 4.9 , 77.50 , 0.025 , 1.94 ,92%, 1.81 , 1.71 , 1.84 , 1.55 , 1.79 , 2.08 , 2.45 , 1.84 
206, 0.24 ,M,Lemina (Mario),WOL, 5.0 , 82.50 , 0.033 , 2.70 ,92%, 2.51 , 2.37 , 2.55 , 2.16 , 2.48 , 2.89 , 3.40 , 2.56 
207, 0.14 ,M,Sarabia,WOL, 5.3 , 27.00 , 0.052 , 1.41 ,92%, 1.31 , 1.23 , 1.33 , 1.12 , 1.29 , 1.50 , 1.77 , 1.33 
,,,,,,,,,,,,,,,,,
1, (1.00),F,0,ARS, 100.0 , 2.00 , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
2, 0.12 ,F,Jesus,ARS, 6.8 , 28.87 , 0.059 , 1.69 ,100%, 1.01 , 2.28 , 2.21 , 1.68 , 1.54 , 1.58 , 1.57 , 1.93 
3, 0.41 ,F,Havertz,ARS, 8.1 , 80.45 , 0.058 , 4.63 ,100%, 3.38 , 6.04 , 5.69 , 4.32 , 3.97 , 4.06 , 4.03 , 4.94 
4, (1.00),F,0,ARS, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
5, (1.00),F,0,AVL, 100.0 , -   , -   , -   ,106%, -   , -   , -   , -   , -   , -   , -   , -   
6, (1.00),F,0,AVL, 100.0 , -   , -   , -   ,106%, -   , -   , -   , -   , -   , -   , -   , -   
7, 0.17 ,F,Durán,AVL, 6.0 , 33.03 , 0.061 , 2.02 ,106%, 2.76 , 2.18 , 1.97 , 1.80 , 2.08 , 1.73 , 1.47 , 2.03 
8, 0.46 ,F,Watkins,AVL, 8.9 , 80.00 , 0.064 , 5.16 ,106%, 5.81 , 5.91 , 5.35 , 4.89 , 5.64 , 4.68 , 3.98 , 5.52 
9, (1.00),F,0,BOU, 100.0 , -   , -   , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
10, 0.08 ,F,Jebbison,BOU, 4.5 , -   , 0.039 , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
11, 0.24 ,F,Evanilson,BOU, 6.0 , 64.00 , 0.044 , 2.82 ,97%, 2.17 , 3.55 , 3.22 , 2.26 , 2.62 , 2.25 , 2.66 , 2.97 
12, 0.12 ,F,Unal,BOU, 5.4 , 21.00 , 0.052 , 1.10 ,97%, 0.85 , 1.38 , 1.26 , 0.88 , 1.02 , 0.88 , 1.04 , 1.16 
13, (1.00),F,0,BRE, 100.0 , -   , -   , -   ,105%, -   , -   , -   , -   , -   , -   , -   , -   
14, 0.38 ,F,Wissa,BRE, 6.1 , 65.56 , 0.053 , 3.48 ,105%, 3.42 , 3.91 , 3.78 , 3.07 , 4.36 , 3.18 , 3.67 , 3.14 
15, 0.06 ,F,Thiago,BRE, 5.9 , -   , 0.048 , -   ,105%, -   , -   , -   , -   , -   , -   , -   , -   
16, (1.00),F,0,BRI, 100.0 , -   , -   , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
17, 0.11 ,F,Ferguson (Evan),BRI, 5.5 , 20.42 , 0.047 , 0.95 ,97%, 0.76 , 0.91 , 1.06 , 0.92 , 1.15 , 0.79 , 0.82 , 0.98 
18, 0.21 ,F,Welbeck,BRI, 5.7 , 49.75 , 0.050 , 2.49 ,97%, 3.28 , 2.32 , 2.32 , 2.02 , 2.53 , 1.74 , 1.79 , 2.15 
19, 0.35 ,F,João Pedro,BRI, 5.7 , 63.65 , 0.054 , 3.45 ,97%, 2.96 , 3.14 , 3.82 , 3.33 , 4.18 , 2.86 , 2.96 , 3.54 
20, (1.00),F,0,BRI, 100.0 , -   , -   , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
21, (1.00),F,0,BRI, 100.0 , -   , -   , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
22, (1.00),F,0,CHE, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
23, (1.00),F,Fofana (David Datro),CHE, 100.0 , -   , 0.057 , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
24, (1.00),F,0,CHE, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
25, 0.26 ,F,Jackson (Nicolas),CHE, 7.6 , 60.13 , 0.055 , 3.32 ,98%, 3.46 , 3.44 , 3.56 , 2.51 , 3.37 , 2.98 , 2.61 , 3.72 
26, (1.00),F,0,CHE, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
27, (1.00),F,0,CHE, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
28, (1.00),F,0,CHE, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
29, (1.00),F,0,CHE, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
30, (1.00),F,0,CHE, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
31, (1.00),F,0,CHE, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
32, 0.36 ,F,Mateta,CPL, 7.4 , 70.68 , 0.057 , 4.04 ,97%, 4.33 , 3.75 , 3.51 , 3.83 , 4.12 , 3.96 , 4.34 , 3.71 
33, 0.32 ,F,Eddie Nketiah,CPL, 5.9 , 68.00 , 0.048 , 3.30 ,97%, 3.42 , 3.09 , 2.90 , 3.16 , 3.40 , 3.26 , 3.58 , 3.06 
34, (1.00),F,0,CPL, 100.0 , -   , -   , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
35, (1.00),F,Plange,CPL, 100.0 , -   , 0.029 , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
36, 0.45 ,F,Calvert-Lewin,EVE, 5.9 , 66.88 , 0.054 , 3.62 ,111%, 4.65 , 4.00 , 3.54 , 3.91 , 3.71 , 3.83 , 3.35 , 3.69 
37, 0.08 ,F,Broja,EVE, 5.5 , 3.89 , 0.039 , 0.15 ,111%, -   , -   , -   , -   , 0.38 , 0.79 , 0.69 , 0.76 
38, 0.11 ,F,Beto,EVE, 5.0 , 12.00 , 0.046 , 0.55 ,111%, 0.63 , 0.59 , 0.57 , 0.63 , 0.60 , 0.62 , 0.54 , 0.60 
39, 0.19 ,F,Ndiaye,EVE, 5.4 , 60.35 , 0.035 , 2.10 ,111%, 2.58 , 2.19 , 2.12 , 2.35 , 2.23 , 2.30 , 2.01 , 2.22 
40, (1.00),F,0,EVE, 100.0 , -   , -   , -   ,111%, -   , -   , -   , -   , -   , -   , -   , -   
41, 0.08 ,F,Carlos Vinicius,FUL, 5.0 , 1.00 , 0.046 , 0.05 ,95%, 0.05 , 0.04 , 0.03 , 0.05 , 0.04 , 0.05 , 0.04 , 0.05 
42, 0.18 ,F,Raúl Jiménez,FUL, 5.4 , 38.50 , 0.049 , 1.87 ,95%, 2.98 , 2.00 , 0.98 , 1.50 , 1.32 , 1.53 , 1.32 , 1.59 
43, 0.20 ,F,Rodrigo Muniz,FUL, 6.1 , 55.63 , 0.047 , 2.61 ,95%, 2.19 , 2.34 , 1.98 , 3.05 , 2.68 , 3.10 , 2.67 , 3.22 
44, 0.12 ,F,Daka,LEI, 4.9 , 13.66 , 0.053 , 0.73 ,101%, -   , -   , -   , 1.44 , 2.22 , 2.32 , 1.86 , 2.06 
45, 0.14 ,F,Núñez,LIV, 7.2 , 34.00 , 0.067 , 2.26 ,98%, 2.47 , 2.24 , 2.11 , 2.29 , 1.57 , 2.39 , 2.41 , 2.54 
46, 0.12 ,F,Gakpo,LIV, 7.2 , 34.00 , 0.055 , 1.87 ,98%, 2.04 , 1.85 , 1.74 , 1.89 , 1.30 , 1.97 , 1.99 , 2.10 
47, (1.00),F,0,LIV, 100.0 , -   , -   , -   ,98%, -   , -   , -   , -   , -   , -   , -   , -   
48, 0.19 ,F,Delap,IPS, 5.5 , 59.00 , 0.037 , 2.16 ,107%, 2.43 , 2.31 , 2.12 , 2.32 , 2.04 , 2.80 , 1.96 , 2.24 
49, 0.15 ,F,Hirst,IPS, 5.4 , 36.77 , 0.043 , 1.57 ,107%, 1.44 , 1.60 , 1.68 , 1.84 , 1.62 , 2.22 , 1.56 , 1.78 
50, 0.12 ,F,Edouard,LEI, 5.4 , 22.75 , 0.043 , 0.97 ,101%, 0.69 , 0.74 , 1.17 , 1.20 , 1.17 , 1.23 , 0.98 , 1.08 
51, 0.08 ,F,Cannon,LEI, 4.5 , -   , 0.039 , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
52, 0.37 ,F,Vardy,LEI, 5.6 , 65.95 , 0.051 , 3.39 ,101%, 4.08 , 2.54 , 3.76 , 3.57 , 3.20 , 3.35 , 2.68 , 2.97 
53, 0.51 ,F,Haaland,MCI, 15.2 , 86.00 , 0.093 , 7.96 ,97%, 6.39 , 7.16 , 8.64 , 7.87 , 10.02 , 7.61 , 7.31 , 8.20 
54, (1.00),F,0,MCI, 100.0 , -   , -   , -   ,97%, -   , -   , -   , -   , -   , -   , -   , -   
55, (1.00),F,0,MUN, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
56, (1.00),F,0,MUN, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
57, 0.13 ,F,Højlund,MUN, 6.9 , 35.30 , 0.049 , 1.72 ,101%, 0.68 , 1.51 , 2.04 , 2.38 , 2.15 , 2.23 , 2.85 , 2.52 
58, 0.18 ,F,Zirkzee,MUN, 7.0 , 55.70 , 0.046 , 2.54 ,101%, 3.15 , 2.92 , 2.12 , 2.22 , 2.02 , 2.08 , 2.66 , 2.36 
59, (1.00),F,0,MUN, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
60, (1.00),F,0,NEW, 100.0 , -   , -   , -   ,91%, -   , -   , -   , -   , -   , -   , -   , -   
61, (1.00),F,0,NEW, 100.0 , -   , -   , -   ,91%, -   , -   , -   , -   , -   , -   , -   , -   
62, 0.08 ,F,Osula,NEW, 5.0 , 3.00 , 0.034 , 0.10 ,91%, 0.10 , 0.08 , 0.10 , 0.11 , 0.09 , 0.08 , 0.10 , 0.11 
63, 0.40 ,F,Isak,NEW, 8.4 , 76.19 , 0.067 , 5.07 ,91%, 4.99 , 4.06 , 4.68 , 5.27 , 4.45 , 4.01 , 4.78 , 5.58 
64, 0.11 ,F,Wilson (Callum),NEW, 6.9 , 23.35 , 0.064 , 1.50 ,91%, 0.61 , 1.13 , 1.75 , 1.97 , 1.66 , 1.50 , 1.79 , 2.09 
65, 0.43 ,F,Wood (Chris),NOT, 6.1 , 71.33 , 0.055 , 3.89 ,101%, 3.76 , 4.30 , 3.38 , 4.06 , 4.34 , 4.24 , 3.93 , 2.64 
66, 0.08 ,F,Ui-Jo,NOT, 4.5 , -   , 0.042 , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
67, 0.10 ,F,Awoniyi,NOT, 5.8 , 15.00 , 0.051 , 0.77 ,101%, 0.71 , 0.84 , 0.69 , 0.83 , 0.88 , 0.86 , 0.80 , 0.54 
68, (1.00),F,0,NOT, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
69, 0.08 ,F,Dennis (Emmanuel),NOT, 5.0 , 1.00 , 0.042 , 0.04 ,101%, 0.04 , 0.05 , 0.04 , 0.04 , 0.05 , 0.05 , 0.04 , 0.03 
70, 0.25 ,F,Archer,SOU, 5.0 , 55.00 , 0.043 , 2.37 ,102%, 3.08 , 2.27 , 1.65 , 3.07 , 1.64 , 2.55 , 2.35 , 2.08 
71, 0.21 ,F,Armstrong (Adam),SOU, 5.4 , 45.00 , 0.049 , 2.21 ,102%, 2.87 , 2.11 , 1.54 , 2.86 , 1.53 , 2.37 , 2.19 , 1.94 
72, 0.13 ,F,Stewart,SOU, 4.5 , 16.00 , 0.046 , 0.73 ,102%, 0.95 , 0.70 , 0.51 , 0.95 , 0.50 , 0.78 , 0.72 , 0.64 
73, 0.09 ,F,Mara,SOU, 5.0 , 7.00 , 0.044 , 0.31 ,102%, 0.40 , 0.30 , 0.22 , 0.40 , 0.21 , 0.33 , 0.31 , 0.27 
74, (1.00),F,0,SOU, 100.0 , -   , -   , -   ,102%, -   , -   , -   , -   , -   , -   , -   , -   
75, 0.41 ,F,Solanke,TOT, 7.5 , 77.39 , 0.056 , 4.32 ,101%, 5.02 , 3.99 , 3.85 , 4.68 , 3.91 , 4.46 , 5.44 , 2.89 
76, 0.08 ,F,Scarlett,TOT, 4.5 , -   , 0.048 , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
77, 0.08 ,F,Veliz,TOT, 5.0 , -   , 0.042 , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   
78, 0.09 ,F,Richarlison,TOT, 6.9 , 17.60 , 0.058 , 1.01 ,101%, -   , 0.68 , 1.37 , 1.67 , 1.40 , 1.59 , 1.94 , 1.03 
79, (1.00),F,0,WAT, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
80, (1.00),F,0,WAT, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
81, (1.00),F,0,WAT, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
82, (1.00),F,0,WAT, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
83, (1.00),F,0,WBA, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
84, (1.00),F,0,WBA, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
85, (1.00),F,0,WBA, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
86, (1.00),F,0,WBA, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   
87, 0.16 ,F,Füllkrug,WHM, 6.8 , 39.37 , 0.053 , 2.10 ,104%, 1.08 , 2.27 , 3.12 , 2.18 , 2.49 , 2.30 , 2.58 , 2.16 
88, 0.10 ,F,Ings,WHM, 5.0 , 10.00 , 0.052 , 0.52 ,104%, 0.52 , 0.49 , 0.67 , 0.47 , 0.53 , 0.49 , 0.55 , 0.46 
89, 0.17 ,F,Antonio,WHM, 5.5 , 45.00 , 0.044 , 1.97 ,104%, 1.99 , 1.86 , 2.55 , 1.78 , 2.04 , 1.88 , 2.11 , 1.77 
90, 0.32 ,F,Strand Larsen,WOL, 5.5 , 72.13 , 0.046 , 3.28 ,92%, 3.21 , 2.84 , 3.05 , 2.58 , 2.97 , 3.46 , 4.07 , 3.07 
91, 0.35 ,F,Matheus Cunha,WOL, 6.5 , 76.90 , 0.050 , 3.87 ,92%, 3.74 , 3.36 , 3.61 , 3.05 , 3.51 , 4.09 , 4.82 , 3.63 
92, (1.00),F,Fabio Silva,WOL, 100.0 , -   , 0.037 , -   ,92%, -   , -   , -   , -   , -   , -   , -   , -   
93, 0.08 ,F,Kalajdzic,WOL, 4.9 , 2.00 , 0.058 , 0.12 ,92%, 0.11 , 0.10 , 0.11 , 0.09 , 0.11 , 0.12 , 0.15 , 0.11 
,,,,,,,,,,,,,,,,,
1, 0.39 ,D,Alexander-Arnold,LIV, 7.0 ,,,,, 4.91 , 4.33 , 3.75 , 3.75 , 2.44 , 4.27 , 4.05 , 4.36 
2, 0.37 ,D,Gabriel,ARS, 6.0 ,,,,, 2.29 , 4.78 , 4.60 , 3.59 , 2.95 , 2.96 , 2.67 , 4.20 
3, 0.33 ,D,White,ARS, 6.5 ,,,,, 2.26 , 4.63 , 4.39 , 3.43 , 2.92 , 2.86 , 2.63 , 4.02 
4, 0.36 ,D,Saliba,ARS, 6.0 ,,,,, 2.19 , 4.56 , 4.48 , 3.45 , 2.94 , 2.89 , 2.63 , 4.12 
5, 0.41 ,D,Robertson,LIV, 6.0 ,,,,, 4.50 , 4.12 , 3.58 , 3.44 , 2.29 , 3.84 , 3.71 , 4.07 
6, 0.43 ,D,Pedro Porro,TOT, 5.5 ,,,,, 4.41 , 2.91 , 3.18 , 4.22 , 3.29 , 3.64 , 4.86 , 1.67 
7, 0.39 ,D,Gvardiol,MCI, 6.0 ,,,,, 3.38 , 3.24 , 4.43 , 3.74 , 4.19 , 3.21 , 2.94 , 2.98 
8, 0.34 ,D,Virgil,LIV, 6.0 ,,,,, 3.99 , 3.70 , 3.19 , 2.99 , 2.04 , 3.44 , 3.27 , 3.58 
9, 0.31 ,D,Akanji,MCI, 5.5 ,,,,, 2.83 , 2.66 , 3.66 , 3.15 , 3.44 , 2.72 , 2.48 , 2.51 
