web_name,Player
B.Fernandes,Bruno Fernandes
Sarr,Sarr (Pape)
Hee Chan,Hwang Hee-Chan
Schär,Schar
Luis Díaz,Díaz
Sterling,Sterling (Raheem)
Nketiah,Eddie Nketiah
J.Alvarez,Alvarez (Julian)
Neto,Neto (Murara)
Estupiñan,Estupinan
Luis Díaz,Diaz
Reguilón,Reguilon
